ZipCode,Nitrogen (N),Phosphorus (P),Potassium (K),pH Level
10001,27.439011898676185,13.149719369514122,77.1823494653667,5.328834158810116
10002,22.974503451425882,28.08182868559552,87.59715371785268,5.460073837142018
10003,43.36829719199136,28.488033715534623,28.601489318436293,5.259809627012188
10004,65.67481714586629,33.233533593115,73.23394464019306,4.8361176126866665
10005,27.51663433914485,13.55836100005811,46.92384991172883,4.868346734538886
10006,49.709585562348146,14.21311595306599,54.8047608608702,5.233280562744324
10007,21.02669246203153,11.20359013974158,99.21031410539386,5.353161476225755
10008,49.25283925869364,5.432602859072152,28.775179598628267,5.108868104185475
10009,48.624219521493984,22.219317382848494,42.03697892887369,5.466694453721695
10010,57.49917896181573,30.25843085822566,23.90896374080821,4.728835170576221
10011,61.37870125203547,26.317675310929545,58.11189466044296,5.435831635333011
10012,34.99668259766467,15.748575140775973,69.39334648294307,5.4645252572634195
10013,40.00128971922051,7.888606487759276,91.38599015030984,5.9944669032815145
10014,63.91968414396519,5.132692911943755,36.57100576886249,4.558456726992946
10015,28.348361626440067,14.036091515689144,36.75287541554507,4.8644204283901615
10016,59.85190735279359,19.9488173061181,55.81016487209229,5.312870316609157
10017,33.61771658876994,33.475234998997635,26.708028123681284,5.613004483260764
10018,66.55570797288007,26.92083802471107,41.15868016844797,5.878185654272239
10019,39.81745472316856,33.99659391489466,55.200967268504456,5.300578352967732
10020,60.43125905420874,19.544580146413438,74.67533303078267,4.602135732520856
10021,57.61588420359188,6.424535646976883,44.46707691956843,4.639795747930062
10022,41.0956519522949,20.686884007597634,85.75965645168816,5.981992054647422
10023,59.54063193724188,25.507420618051015,71.88269878615515,5.993398439958996
10024,56.50857533813567,22.589129329491954,46.36372740275581,5.137524315639353
10025,56.382538159724376,5.761872967547825,79.36418494379878,5.333425658632232
10026,51.327671787062904,11.840175329583492,48.553022951828666,5.68295227478941
10027,40.86803553324161,25.552692310216358,89.78464221563071,5.1887413711040695
